species	max_relative_abundance	max_estimated_reads	prevalence_at_threshold	emu_min_relative_abundance	emu_min_estimated_reads	species_reportable	assignment_method
Selenomonas sp. oral taxon 478	0.0037965443464141	40.10289793117231	0	0.005	10.0	no	EMU
Selenomonas sp. oral taxon 920	0.0209284157719416	63.62839344646651	6	0.005	10.0	yes	EMU
Selenomonas sputigena	0.0112726193974497	43.99999397602076	4	0.005	10.0	yes	EMU
Shuttleworthia satelles	0.0138155221454693	56.0000449215956	4	0.005	10.0	yes	EMU
Staphylococcus aureus	0.0022947925860547	13.0	0	0.005	10.0	no	EMU
Stomatobaculum longum	0.0213737668980635	117.0	1	0.005	10.0	yes	EMU
Streptobacillus hongkongensis	0.0035974628419956	38.0	0	0.005	10.0	no	EMU
Streptococcus cristatus	0.0055460309544316	26.39512866702557	1	0.005	10.0	yes	EMU
Streptococcus equinus	0.0031605078862982	10.654072084711382	0	0.005	10.0	no	EMU
Streptococcus gordonii	0.0157086418811992	52.95383178152269	1	0.005	10.0	yes	EMU
Streptococcus koreensis	0.0147989900311435	50.508952976293024	2	0.005	10.0	yes	EMU
Streptococcus milleri	0.003006718646115	22.811974368074733	0	0.005	10.0	no	EMU
Streptococcus mitis	0.0105219890855735	42.56119858687297	3	0.005	10.0	yes	EMU
Streptococcus oralis	0.0407800955089195	325.53407730315746	9	0.005	10.0	yes	EMU
Streptococcus salivarius	0.0244024259744314	138.2397431451539	2	0.005	10.0	yes	EMU
Streptococcus sanguinis	0.0205337332209348	98.30540565468246	5	0.005	10.0	yes	EMU
Streptococcus sinensis	0.0163289241745042	66.97186645964183	3	0.005	10.0	yes	EMU
Streptococcus sp. A12	0.0071042947766249	53.90028447025362	1	0.005	10.0	yes	EMU
Streptococcus sp. I-P16	0.0852472456797617	357.7919870936063	6	0.005	10.0	yes	EMU
Streptococcus sp. LPB0220	0.0178318608385253	60.1112028866689	3	0.005	10.0	yes	EMU
Streptococcus sp. NPS 308	0.0179578225203654	53.10128119272071	2	0.005	10.0	yes	EMU
Streptococcus sp. oral taxon 431	0.0034360186098867	19.46504542500827	0	0.005	10.0	no	EMU
Streptococcus suis	0.0024781783327142	14.038880254825976	0	0.005	10.0	no	EMU
Streptococcus viridans	0.0143491230144409	78.54709938104986	1	0.005	10.0	yes	EMU
Sulfurovum sp. NBC37-1	0.0017040613462084	18.0	0	0.005	10.0	no	EMU
Tannerella forsythia	0.0026478375993022	15.00000000004733	0	0.005	10.0	no	EMU
Tannerella sp. oral taxon HOT-286	0.0053396618214179	18.0	1	0.005	10.0	yes	EMU
Tissierella creatinini	0.0048760666395774	17.999332818188254	0	0.005	10.0	no	EMU
Treponema amylovorum	0.0040600176522506	23.000000000000004	0	0.005	10.0	no	EMU
Treponema denticola	0.0049426301853486	28.0	0	0.005	10.0	no	EMU
Treponema putidum	0.0054804530507855	45.0	1	0.005	10.0	yes	EMU
Treponema sp. OMZ 838	0.0074139452780229	44.0	1	0.005	10.0	yes	EMU
Tropheryma whipplei	0.0040859364702781	31.0	0	0.005	10.0	no	EMU
Veillonella criceti	0.0286761578359197	299.8117542432529	2	0.005	10.0	yes	EMU
Veillonella dispar	0.0020774891396187	11.76897597594026	0	0.005	10.0	no	EMU
Veillonella parvula	0.0267522367314858	151.55142108386738	9	0.005	10.0	yes	EMU
Veillonella ratti	0.07153540366475	542.7391076044587	9	0.005	10.0	yes	EMU
Veillonella rodentium	0.0069161874649102	23.63767567667097	1	0.005	10.0	yes	EMU
[Eubacterium] yurii	0.0053015241882041	56.0	1	0.005	10.0	yes	EMU
[Pasteurella] aerogenes	0.0141398975497374	77.40179918726291	4	0.005	10.0	yes	EMU
