contrast	feature_id	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Active	rab.win.Control	diff.btw	diff.win	effect	overlap	significant	status	detail	rab.win.Latent
Active_vs_Control	Bariatricus	0.739156055258407	1	0.68671875	0.981885302197802	-2.80703160129515	-2.6647388560148	-3.0696690444177	0.843184297578228	6.36344780186201	0.133306614663795	0.453125106902353	no	ok		NA
Active_vs_Control	Campylobacter	0.735708901762582	1	0.74140625	0.998995535714286	1.81177035872397	-0.452438935425395	2.5961524710128	0.288899558691216	5.6725376137572	0.0599871597740014	0.463541749522704	no	ok		NA
Active_vs_Control	Capnocytophaga	0.337945436026006	1	0.378125	1	1.72507302842544	4.52662844185246	-2.02365162352791	-3.9276024529212	6.28977303017133	-0.602338056651017	0.19270944958575	no	ok		NA
Active_vs_Control	Chlorobium	0.811367186149051	1	0.790625	0.997580128205128	-1.87415148394731	-1.36477586604124	-2.45603815852368	-0.197401000799098	7.00656592743465	-0.0369884954522358	0.466321319211998	no	ok		NA
Active_vs_Control	Dialister	0.3320099204215	1	0.31640625	1	1.8225446399123	3.89424059261604	-2.46136354691122	-4.29822281218532	6.0378015721245	-0.710409897406019	0.176167051036588	no	ok		NA
Active_vs_Control	Eikenella	0.659236127946864	1	0.73359375	1	-1.49850412013725	-0.568277148443054	-2.44030558466728	-1.47613445909675	5.1840584741037	-0.26313603110944	0.362694632748351	no	ok		NA
Active_vs_Control	Endomicrobium	0.670388837017398	1	0.75625	1	-1.68687210155948	-0.83437906021627	-2.71242307374465	-1.22992324927632	5.66213828658937	-0.203203407421883	0.385416940043501	no	ok		NA
Active_vs_Control	Enterocloster	0.734808797401612	1	0.58046875	0.994636561355311	1.79911121836516	-1.02493857584611	2.50941309414396	1.01141631444617	7.11373874829569	0.166746286071199	0.411458539964782	no	ok		NA
Active_vs_Control	Fretibacterium	0.671718224482897	1	0.75078125	0.9998125	-1.30834668676678	-0.645220143084461	-1.95440326897701	-1.08009936163121	4.99669827833244	-0.190874382585902	0.398963966228268	no	ok		NA
Active_vs_Control	Fusobacterium	0.731261666376798	1	0.78203125	0.9998125	4.51747463050239	4.76162628965356	4.42512631971879	-0.38196837973222	1.71728958520672	-0.237910450299368	0.39062525967192	no	ok		NA
Active_vs_Control	Gemella	0.684989594614717	1	0.690625	1	4.94428524705039	5.32671696983002	4.45980224529612	-0.671569219743124	2.43591618502185	-0.296295377877598	0.317708808579265	no	ok		NA
Active_vs_Control	Granulicatella	0.911660931591392	1	0.76328125	0.9998125	4.95387463268538	5.0331610244228	4.90657274097962	0.139796148504157	2.24119496049074	0.058146857282287	0.458333428181143	no	ok		NA
Active_vs_Control	Haemophilus	0.837091779194784	1	0.49609375	0.9998125	8.0576263553606	7.53160985112148	8.69581810321089	0.770149872872849	1.79416330600424	0.307428984955786	0.367875965442486	no	ok		NA
Active_vs_Control	Lachnoclostridium	0.764371073028621	1	0.7296875	0.994074328449328	-2.92209341548722	-2.71326391306562	-3.33693729642956	0.612522596817581	6.3503205234862	0.107485144801818	0.471502654635049	no	ok		NA
Active_vs_Control	Lautropia	0.784180144360066	1	0.5921875	0.996505837912088	1.53816977981232	-0.773889507203406	2.29917631909085	0.66414349598521	6.07870843340987	0.129443403983502	0.404145300346379	no	ok		NA
Active_vs_Control	Lentimicrobium	0.736424100838448	1	0.71015625	0.980415331196581	-2.77855897871049	-2.75695408568838	-2.84766535746439	1.05810419241141	6.3907696474479	0.139158229157023	0.4455959780921	no	ok		NA
Active_vs_Control	Moraxella	0.201831661462494	1	0.20859375	1	4.1381257977335	4.66634830483953	3.25639543243378	-1.46985132862023	1.59965966006669	-0.995523858744103	0.088085769342426	no	ok		NA
Active_vs_Control	Muribaculum	0.687477299820998	1	0.68828125	0.987174622252747	-2.66136490539941	-2.57865488469993	-2.84131897388762	1.10661728081409	7.47751790395083	0.141015651581853	0.440414642995582	no	ok		NA
Active_vs_Control	Neisseria	0.568763739929621	1	0.69765625	1	7.25311573557819	7.43443443248987	5.89952718625774	-1.39803786322458	0.9956035593871	-0.610363305346279	0.333333757183061	no	ok		NA
Active_vs_Control	Oribacterium	0.722611057462029	1	0.64375	0.955066391941392	-2.74384955094536	-2.82002444794959	-2.5902921310796	0.830088402668131	5.21077387284157	0.13841259202706	0.442708464566388	no	ok		NA
Active_vs_Control	Peptoanaerobacter	0.674073466181824	1	0.6015625	0.942384958791209	-2.22578272152461	-2.50241507205078	-1.95031896124631	1.02456249904793	5.04551059476663	0.198117234356322	0.41666686042708	no	ok		NA
Active_vs_Control	Porphyromonas	0.584559494086558	1	0.60859375	1	7.75428031009083	8.00567690618349	7.20454285739216	-0.719391007520524	1.82636251747972	-0.361364444985425	0.29166723654711	no	ok		NA
Active_vs_Control	Prevotella	0.739752959826507	1	0.603125	0.998541666666667	6.99345175555999	7.01043946852374	6.97460848844767	0.34867298533774	1.5650333629004	0.25205238140165	0.404145300346379	no	ok		NA
Active_vs_Control	Prevotellamassilia	0.839648274992261	1	0.878125	1	6.14568219082762	6.84378152292454	5.5946345156867	-0.153269695703359	2.80452000289551	-0.0721751956816107	0.466321319211998	no	ok		NA
Active_vs_Control	Schwartzia	0.632221280391446	1	0.56953125	1	1.58764308366004	2.66283033882033	0.884575732024541	-1.65257216627863	4.36809119610696	-0.3035763728966	0.270833989132961	no	ok		NA
Active_vs_Control	Selenomonas	0.703436284311091	1	0.51953125	1	3.86763804126597	5.34942493736557	3.42836584551083	-1.67667445965971	6.85824414684716	-0.233883254648405	0.259068059517974	no	ok		NA
Active_vs_Control	Streptococcus	0.366624329648545	1	0.61171875	1	7.57580151636788	7.83389209113475	6.12406001400198	-1.62183404267179	2.254676138635	-0.730035033080126	0.296875549929299	no	ok		NA
Active_vs_Control	Tissierella	0.766615737667599	1	0.6984375	0.990060897435897	-2.78654942941051	-2.78067528318808	-2.89877475913554	0.717358862863919	5.22572554872833	0.144719472076695	0.450777313270224	no	ok		NA
Active_vs_Control	Tropheryma	0.707437278289316	1	0.6703125	0.988693337912088	-2.83750087222906	-2.65862970694801	-3.05432617333704	1.27356386923813	6.68303852641318	0.173278600296717	0.44791678569462	no	ok		NA
Active_vs_Control	Veillonella	0.87655991657242	1	0.68828125	0.9998125	5.76626961391688	5.5458391260293	5.89417975665427	0.1496078897645	2.43307767223235	0.0525707186105307	0.458333428181143	no	ok		NA
Active_vs_Control	[Pasteurella]	0.793290432388061	1	0.94609375	1	2.85771333258292	3.35882431057658	2.20533383350415	-0.711241757421217	7.46367061760133	-0.107263052991883	0.453125106902353	no	ok		NA
Latent_vs_Control	Aggregatibacter	0.118168347832906	0.96635032017112	0.0671875	0.380066036693192	5.13147495999153	NA	6.05451975811788	-1.14983055089339	0.645052610581162	-1.50419579402407	0.077723501615168	no	ok		4.81205025195915
Latent_vs_Control	Streptobacillus	0.234011206143795	0.984855706539737	0.16328125	0.642688505370348	-2.33231199671746	NA	2.02814829641286	-5.05651131334399	4.59321117390764	-1.07323415593352	0.135418426403506	no	ok		-4.05918785375528
Latent_vs_Control	Alysiella	0.38729719996733	0.992218504546759	0.31796875	0.74295299752331	-3.39771234968263	NA	-1.73528551832949	-3.32689880163852	4.89582184351894	-0.611226821782339	0.233161456450763	no	ok		-4.50907305644084
Latent_vs_Control	Desulfovibrio	0.506011834914309	0.996170463192779	0.3984375	0.854756718254278	-3.29178996683916	NA	-2.15053545765243	-2.50850827416823	4.56810824149135	-0.480342782239137	0.326425311992643	no	ok		-4.29744470509466
Latent_vs_Control	Eikenella	0.402329175995429	0.996338070570151	0.3375	0.788150471789346	-3.00437761614821	NA	-1.73013000088535	-3.04182575047645	4.71780387052111	-0.55129237649614	0.259068059517974	no	ok		-4.37488956285717
Latent_vs_Control	Flavobacteriaceae	0.45593117966605	0.996383021234353	0.3765625	0.840862583895989	-3.34916238340524	NA	-1.98079764395162	-3.23662231611372	5.38811932715441	-0.505129419038573	0.28497468346637	no	ok		-4.24584878902662
Latent_vs_Control	Saccharicrinis	0.426580731525398	0.99730859181558	0.33828125	0.763687330763705	-3.38813881321268	NA	-1.80505471060494	-3.07673002660388	5.38358130828905	-0.559400870041392	0.274612031782545	no	ok		-4.22653956213502
Latent_vs_Control	Bacteroides	0.431767306428139	0.998115808922126	0.37734375	0.775854798712423	-3.34733504920358	NA	-2.20244869963011	-3.00787993753149	4.89612852710576	-0.56741631851165	0.290156010238937	no	ok		-4.27403484996138
Latent_vs_Control	Anaerocella	0.513171326148652	0.999061188514261	0.46875	0.883694842782935	-3.60407661226185	NA	-2.33893986456339	-2.57735757602321	6.31365121935935	-0.39344377415993	0.331606642538848	no	ok		-4.13136859383879
Latent_vs_Control	Paludibacter	0.521215890608827	0.999191132122284	0.60390625	1	-3.13515836017234	NA	-4.09391536404213	2.45647646914795	4.31955212542022	0.454317123503731	0.29533733758434	no	ok		-2.27049357083978
Latent_vs_Control	Amniculibacterium	0.484703018790831	0.999432337967616	0.4265625	0.811024069545756	-3.18445510893798	NA	-1.78877309783288	-2.31769319050655	4.96890652931843	-0.457038074607933	0.286458923739804	no	ok		-4.05020042709238
Latent_vs_Control	Sulfurovum	0.416084991490907	0.999624152509964	0.33359375	0.793208013053229	-3.26018828319	NA	-1.66067716026112	-3.08131480345188	4.58614193105593	-0.617145515495695	0.259068059517974	no	ok		-4.25477136373752
Latent_vs_Control	Abiotrophia	0.592512749692753	1	0.48984375	0.981742896138893	-0.267730138080158	NA	0.533259392523608	-2.12655248143959	5.39656922412878	-0.352148098747435	0.347150636268329	no	ok		-2.26760755533591
Latent_vs_Control	Acinetobacter	0.842101278134113	1	0.70078125	0.990841453831201	-2.64898892412959	NA	-2.48728021206428	-0.104136074514439	7.06236709534425	-0.0177579157863829	0.487046661122772	no	ok		-2.78597074612047
Latent_vs_Control	Actinobacillus	0.533981172607818	1	0.4921875	0.900399639423077	-3.55798200217117	NA	-2.88368900092467	-2.54348000617514	6.2169116823613	-0.433993386982775	0.336787973446622	no	ok		-4.2078830425998
Latent_vs_Control	Alloprevotella	0.525536840756576	1	0.83828125	0.997153376436782	3.0677614471058	NA	3.06115996750695	0.125415478479977	4.57617269671318	0.0355525911014274	0.466321319211998	no	ok		3.0825621523558
Latent_vs_Control	Aminipila	0.522650143567714	1	0.3046875	0.943329257847038	0.803649937001203	NA	2.14094012423033	-1.88516014017539	5.48397621724163	-0.371475593343747	0.250000753505307	no	ok		-2.28845474108876
Latent_vs_Control	Bacteroidales	0.903062216272154	1	0.84765625	1	2.61345754153699	NA	1.84964506950383	-0.195611806931568	6.5232095116242	-0.0274171020943876	0.487046661122772	no	ok		3.24533697611405
